bq_idx,profile,hit,rank,mrr,ndcg,recall_tier2,top1_score,score_gap,lambda0
1155,q_medium,True,1.0,1.0,0.32825951151166505,0.0,0.7248582726488764,0.09797873251806288,False
1155,q_sentence,True,1.0,1.0,0.4103243893895813,0.09090909090909091,0.8587015146502348,0.09988115274461373,False
1155,q_verbose,True,1.0,1.0,0.32825951151166505,0.0,0.8028103435671552,0.08028369039845751,False
1156,q_medium,True,1.0,1.0,0.7601875334318685,0.0,0.8602254415935815,0.15080942215708915,False
1156,q_sentence,True,1.0,1.0,0.7601875334318685,0.0,0.8688248023459193,0.1340811085185194,False
1156,q_verbose,True,1.0,1.0,0.7601875334318685,0.0,0.7400119136706118,0.04118962317870756,False
1157,q_medium,False,,0.0,0.0,0.0,0.8323929806725289,0.07774205962202196,False
1157,q_sentence,True,6.0,0.16666666666666666,0.11692839723702363,0.0,0.8296638827578874,0.04539101990720218,False
1157,q_verbose,False,,0.0,0.0,0.0,0.8452874000966952,0.08579010299117384,False
1158,q_medium,True,2.0,0.5,0.20710869270554186,0.0,0.7979389772125363,0.10082793651368593,False
1158,q_sentence,True,1.0,1.0,0.32825951151166505,0.0,0.8893668044335098,0.11432644088199284,False
1158,q_verbose,True,2.0,0.5,0.20710869270554186,0.0,0.8524192938443812,0.09004466877323347,False
1159,q_medium,True,4.0,0.25,0.1931508497490827,0.027777777777777776,0.863878849238046,0.14823624850982575,False
1159,q_sentence,True,1.0,1.0,0.32825951151166505,0.0,0.853526169614126,0.1226585538250643,False
1159,q_verbose,True,1.0,1.0,0.32825951151166505,0.0,0.8450799035416103,0.1128709035837383,False
1160,q_medium,True,1.0,1.0,0.43250654766970936,0.05555555555555555,0.8582065292697537,0.11531378040015239,False
1160,q_sentence,True,1.0,1.0,0.38672371013017687,0.027777777777777776,0.8700030763150426,0.12007156629270188,False
1160,q_verbose,True,5.0,0.2,0.19767495181607558,0.027777777777777776,0.7962148950603118,0.05908305107411205,False
1161,q_medium,True,1.0,1.0,0.3800366846880505,0.027777777777777776,0.8537254137313051,0.03083011812763936,False
1161,q_sentence,True,12.0,0.08333333333333333,0.1471724431826377,0.027777777777777776,0.8240793631551684,0.03645493399257593,False
1161,q_verbose,False,,0.0,0.0,0.0,0.7822747956126881,0.046012706356128974,False
1162,q_medium,True,1.0,1.0,0.5759528445600567,0.09615384615384616,0.8884029392990322,0.10885780258414068,False
1162,q_sentence,True,1.0,1.0,0.5971857572744669,0.09615384615384616,0.9107288292134662,0.06345591479303347,False
1162,q_verbose,True,1.0,1.0,0.5031933859560579,0.057692307692307696,0.9012960645962558,0.05185006368621625,False
1163,q_medium,True,1.0,1.0,0.6628468719203137,0.09615384615384616,0.8221553903170769,0.06263630467026127,False
1163,q_sentence,False,,0.0,0.15531631762317746,0.057692307692307696,0.7843553557882529,0.04002653578717574,False
1163,q_verbose,False,,0.0,0.07068683828634863,0.019230769230769232,0.7323575046624522,0.03255174348256551,False
1164,q_medium,True,1.0,1.0,0.6735280872007581,0.09615384615384616,0.8926597702472294,0.07713034390646767,False
1164,q_sentence,True,4.0,0.25,0.4119905240901928,0.057692307692307696,0.8678485171934401,0.06827093283063723,False
1164,q_verbose,True,3.0,0.3333333333333333,0.5360608940224802,0.07692307692307693,0.8322268549393025,0.05913902082724687,False
1165,q_medium,True,7.0,0.14285714285714285,0.3208463618053463,0.057692307692307696,0.7927584294045191,0.029240258325711643,False
1165,q_sentence,False,,0.0,0.6158462220655156,0.17307692307692307,0.8939995327503252,0.0696851753277079,False
1165,q_verbose,False,,0.0,0.3037502018581929,0.07692307692307693,0.7716021961019167,0.04106109172607997,False
1166,q_medium,True,2.0,0.5,0.43274900538306366,0.07692307692307693,0.8820019997564975,0.047064825957773615,False
1166,q_sentence,True,2.0,0.5,0.5596038464976825,0.11538461538461539,0.8822950704682904,0.06487923925788608,False
1166,q_verbose,True,2.0,0.5,0.39035872342335215,0.057692307692307696,0.8201229070981462,0.08201336559887518,False
1167,q_medium,True,1.0,1.0,0.47925799720559303,0.1,0.8837212306237305,0.16290853890944113,False
1167,q_sentence,True,1.0,1.0,0.4561072269291137,0.1,0.9158947256957166,0.1409331979063715,False
1167,q_verbose,True,1.0,1.0,0.431813857864436,0.05,0.8628106965772518,0.08590838158792669,False
1168,q_medium,False,,0.0,0.1738631395011363,0.15,0.865027382675779,0.03792007994644486,False
1168,q_sentence,False,,0.0,0.10424703615804422,0.1,0.8423522741705102,0.03144235513048643,False
1168,q_verbose,False,,0.0,0.27730387295962183,0.15,0.8720111908867334,0.04276004665683375,False
1169,q_medium,True,3.0,0.3333333333333333,0.27730387295962183,0.1,0.8762815225907642,0.03383348153576604,False
1169,q_sentence,True,7.0,0.14285714285714285,0.16119701034694048,0.05,0.8082119465696513,0.022589784523554313,False
1169,q_verbose,True,1.0,1.0,0.4507235229743991,0.1,0.8335358622068691,0.06410395315921635,False
1170,q_medium,True,1.0,1.0,0.431813857864436,0.05,0.8428550613869445,0.13902748283732058,False
1170,q_sentence,True,1.0,1.0,0.431813857864436,0.05,0.8743383483910201,0.13789972551904583,False
1170,q_verbose,True,1.0,1.0,0.32825951151166505,0.0,0.8430382324646022,0.09055516862779145,False
1171,q_medium,True,2.0,0.5,0.20710869270554186,0.0,0.8666851368074138,0.08606442951339632,False
1171,q_sentence,True,1.0,1.0,0.39894634979801363,0.05,0.920371808155788,0.12254289450304401,False
1171,q_verbose,True,1.0,1.0,0.4965063605139315,0.15,0.9008477408605994,0.08190200885590249,False
1172,q_medium,True,9.0,0.1111111111111111,0.13986217479634824,0.0,0.839272846147177,0.04711333867309475,False
1172,q_sentence,True,9.0,0.1111111111111111,0.13986217479634824,0.0,0.8248641291144373,0.03822151494941084,False
1172,q_verbose,True,4.0,0.25,0.20009753484229875,0.0,0.8681901471025846,0.023779499268435145,False
1173,q_medium,False,,0.0,0.08274908245792924,0.2,0.8054296214928207,0.03167953591469652,False
1173,q_sentence,False,,0.0,0.0671515062423826,0.2,0.8358517076975027,0.028177723112710162,False
1173,q_verbose,False,,0.0,0.14656879505245027,0.2,0.8375491398818691,0.029943396176828174,False
1174,q_medium,True,2.0,0.5,0.3664219876311257,0.2,0.8832516936035824,0.12493522176539784,False
1174,q_sentence,True,3.0,0.3333333333333333,0.3150551263919474,0.2,0.8432097948555743,0.07436435782229345,False
1174,q_verbose,True,2.0,0.5,0.29313759010490054,0.0,0.866599506854932,0.05063858420254175,False
1175,q_medium,True,1.0,1.0,0.6111808829204867,0.2,0.8329942985439945,0.0705566816555715,False
1175,q_sentence,True,1.0,1.0,0.46461208786803637,0.0,0.8650258330505937,0.08829729562309718,False
1175,q_verbose,True,2.0,0.5,0.5254436340389187,0.2,0.8403308231723441,0.0621839046947773,False
1176,q_medium,True,10.0,0.1,0.30160660569619696,0.4,0.8292861885363942,0.03775061199363705,False
1176,q_sentence,False,,0.0,0.07743534797800605,0.2,0.8507322768953907,0.030722389151034868,False
1176,q_verbose,True,3.0,0.3333333333333333,0.5646608552891857,0.4,0.817087577962381,0.02128163638051106,False
1177,q_medium,True,4.0,0.25,0.20486773333756075,0.08333333333333333,0.8498665797679112,0.07362818684921779,False
1177,q_sentence,True,1.0,1.0,0.38672371013017687,0.08333333333333333,0.8278698335608397,0.10700115052419279,False
1177,q_verbose,True,1.0,1.0,0.3757036508528221,0.08333333333333333,0.8068044645769485,0.06880553325429939,False
1178,q_medium,False,,0.0,0.06349405676486349,0.08333333333333333,0.8140178856063838,0.038332685910539954,False
1178,q_sentence,True,2.0,0.5,0.20710869270554186,0.0,0.8674209196506821,0.041843255784291156,False
1178,q_verbose,True,1.0,1.0,0.37261363379372797,0.08333333333333333,0.8935857286650362,0.09863413933386367,False
1179,q_medium,True,2.0,0.5,0.2565166723690504,0.08333333333333333,0.8878686771138133,0.14112217318893716,False
1179,q_sentence,True,2.0,0.5,0.2565166723690504,0.08333333333333333,0.9158204007208752,0.14159428986306621,False
1179,q_verbose,False,,0.0,0.0,0.0,0.7943197971278556,0.029065597766808504,False
